Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
26,Season 1 Episode 13: What caused Stan to lose all of his money on Cash Wheel?,MC,,Cash Shower,,Interrupting People,,Being a Self-Centured Attention Hogger,,"Not knowing the word ""Please""",,,,,,,,,,,,,,,,,,,,,,,,4
27,"Season 1 Episode 14 (Bottomless Pit): In Dipper's Story, where did he put the voice-changing potion after he decided not to use it?",MC,,In the garbage,,Outside,,Given it back to Old Man McGucket,,In Stan's Coffee,,,,,,,,,,,,,,,,,,,,,,,,4
28,Season 1 Episode 14: How did they eventually get out of the Bottomless Pit?,MC,,They didn't,,They fell back up through the entrance,,Someone set an endless rescue rope through,,"Ford, while in the other dimension, sent them back",,,,,,,,,,,,,,,,,,,,,,,,2
29,Season 1 Episode 15 (The Deep End): Who stole Stan's perfect seat on the edge of the pool?,MC,,Gideon,,Wendy,,Mabel,,Soos,,,,,,,,,,,,,,,,,,,,,,,,1
30,Season 1 Episode 15: What did Soos aid in?,MC,,The breaking of pool materials,,Mabel's transport of Mermando,,The freeing of the guy stuck behind pool bars for all eternity,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,Season 1 Episode 16 (Carpet Diem): What powers does the magical carpet have?,MC,,"To give anyone three wishes, and you can't wish for more wishes",,To switch peoples' bodies,,To gain suck-up points from Stan,,The power to make anyone go to sleep,,,,,,,,,,,,,,,,,,,,,,,,2
32,Season 1 Episode 16: How did Dipper (Mabel in disguise) win the key to the room?,MC,,By standing up to Stan,,By fixing the roof in 105 degree weather,,By eating food,,By having his/her innocence shattered,,,,,,,,,,,,,,,,,,,,,,,,1
33,Season 1 Episode 17 (Boyz Crazy): Why was the developer of Several Timez arrested?,MC,,Slavery,,Production of Human Beings,,Lack of a License Plate,,Carelessness about his possessions,,,,,,,,,,,,,,,,,,,,,,,,3
34,Season 1 Episode 17: How was the hypnotizing message in the song Robbie sang discovered?,MC,,Slowing down the tape,,Breaking the tape,,Burning the tape,,Rewinding the tape,,,,,,,,,,,,,,,,,,,,,,,,4
35,Season 1 Episode 18 (Land Before Swine): Why did Waddles get captured by the dinosaur?,MC,,Stan left it outside,,The dinosaur broke into the shack,,Mabel threw it out the window,,The dinosaur carefully opened the door and flew into the shack,,,,,,,,,,,,,,,,,,,,,,,,1
36,Season 1 Episode 18: How were they able to evade the newborn baby dinosaur?,MC,,Eat it,,Punch it in the face,,Clamping its eyes shut,,Remain DIRECTLY between its two eyes,,,,,,,,,,,,,,,,,,,,,,,,4
37,Season 1 Episode 19 (Dreamscapers): Who does Gideon summon to get the code to Stan's safe?,MC,,His dad,,His mom,,Bill Cipher,,Ford Pines,,,,,,,,,,,,,,,,,,,,,,,,3
38,Season 1 Episode 19: What happens to the memory with the code to Stan's safe?,MC,,It's destroyed,,It falls into the Bottomless Pit,,Bill takes it back to his dimension,,It remains safe,,,,,,,,,,,,,,,,,,,,,,,,2
39,Season 1 Episode 20 (Gideon Rises): Who is Dipper and Mabel's bus driver back home to California?,MC,,Waddles,,Stan,,Gideon,,Soos,,,,,,,,,,,,,,,,,,,,,,,,4
40,"Season 1 Episode 20: How did Gideon develop his so-called ""psychic"" powers?",MC,,The Journals,,The Gideon Pins,,Bill Cipher,,The giant Gideon-bot,,,,,,,,,,,,,,,,,,,,,,,,2
41,"Dipper's Guide to the Unexplained 1 (That Thing): What about ""That Thing"" gets Mabel to wake up?",MC,,It's destroying the house,,It's wreaking havoc in their room,,It's eating leftover Summerween candy,,It's licking the Jack-O-Melon,,,,,,,,,,,,,,,,,,,,,,,,3
42,"Dipper's Guide to the Unexplained 2 (Stan's Tattoo): What is their first plan in trying to see Stan's tattoo?
(note: we <i>actually</i> get to see how he got his tattoo in the ""A Tale of Two Stans"" episode)",MC,,Getting to him in the shower...,,Cranking up the heat,,"Referring to that as ""poison oak""",,"Writing ""Goober"" on Grunkle Stan's forehead",,,,,,,,,,,,,,,,,,,,,,,,2
43,Dipper's Guide to the Unexplained 3 (Mailbox): What year did the mailbox say the world was gonna end?,MC,,2012,,2016,,2100,,3012,,,,,,,,,,,,,,,,,,,,,,,,4
44,Dipper's Guide to the Unexplained 4 (Lefty): What is on the right side of Lefty?,MC,,An embarassing sunburn,,A lizard,,NORMAL!,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,4
45,Dipper's Guide to the Unexplained 5 (The Tooth): Who does Mabel bring along on their quest?,MC,,Gideon,,Waddles,,Blendin,,Bear-O,,,,,,,,,,,,,,,,,,,,,,,,4
46,Dipper's Guide to the Unexplained 6 (Hide Behind): Who out of the people interviewed does not believe in the hide-behind?,MC,,Manly Dan,,Lazy Susan,,Grunkle Stan,,Toby Determined,,,,,,,,,,,,,,,,,,,,,,,,3
47,Mabel's Guide to Life 1 (Dating): What did Soos score on the dating quiz (out of 5)?,MC,,1,,3,,5,,12,,,,,,,,,,,,,,,,,,,,,,,,4
48,Mabel's Guide to Life 2 (Stickers): What sticker comes for free at the store?,MC,,Normal stickers,,Scratch n' sniff,,Googly eyed,,Price stickers,,,,,,,,,,,,,,,,,,,,,,,,4
49,Mabel's Guide to Life 3 (Fashion): What type of fashion is the main idea portrayed in this short?,MC,,Flash makeovers,,Clothing materials,,Colors,,Hair,,,,,,,,,,,,,,,,,,,,,,,,1
50,Mabel's Guide to Life 4 (Colors): What's Mabel's theory on the history of color?,MC,,Color has been around since the beginning of time,,"Color was never invented, but used more widely recently",,A magical wizard invented it,,"Color and monochrome have a massive rivalry, and color is currently winning",,,,,,,,,,,,,,,,,,,,,,,,3
51,Mabel's Guide to Life 5 (Art): What type of portrait that Mabel draws is making HUGE profits?,MC,,Self-portraits,,Family portraits,,Globs,,Caticatures,,,,,,,,,,,,,,,,,,,,,,,,4
52,Fixin' It With Soos 1 (Cuckoo-Clock): What rating (out of 10) does Stan give Soos?,MC,,1,,4,,7,,10,,,,,,,,,,,,,,,,,,,,,,,,4
53,Fixin' It With Soos 2 (Golf Cart): What rating (out of 10) does Dipper & Wendy give Soos?,MC,,1,,4,,7,,10,,,,,,,,,,,,,,,,,,,,,,,,4
54,"TV Shorts #1 (Mabel watches): The Mystery Shack defies the law of nature, and sometimes even the law of ____.",MC,,Inventions,,Artificial Intelligence,,Soos,,Police,,,,,,,,,,,,,,,,,,,,,,,,4
55,TV Shorts #2 (Stan watches): Who is Ducktective's partner?,MC,,Stan,,Steve,,Soup,,Salsa,,,,,,,,,,,,,,,,,,,,,,,,2
56,Mabel's Scrapbook #1 (The weird cow): What's the name of the cow?,MC,,Waddles,,Bear-O,,Octavia,,Gompers,,,,,,,,,,,,,,,,,,,,,,,,3
57,Mabel's Scrapbook #2 (Movie Theater): What is the name of the movie they'll be seeing?,MC,,Pony Heist,,Bologna Heist,,Gravity Falls,,Thompson Drinks Popcorn Butter,,,,,,,,,,,,,,,,,,,,,,,,1
58,Season 2 Episode 1 (Scary-oke): What did Dipper do that Mabel said specifically not to do?,MC,,Sing Karaoke,,Put Waddles Outside,,Raise the Dead,,Summon the Gremloblin,,,,,,,,,,,,,,,,,,,,,,,,3
59,Season 2 Episode 1: How were the zombies eventually defeated?,MC,,A bat,,Stan's punches,,Shovels,,"""Taking Over Midnight""",,,,,,,,,,,,,,,,,,,,,,,,4
60,Season 2 Episode 2 (Into the Bunker): How was Dipper able to find out which Wendy was the real Wendy?,MC,,A wink,,A lip seal,,A DNA test,,A drowning contest,,,,,,,,,,,,,,,,,,,,,,,,2
61,Season 2 Episode 2: What did Soos steal out of the hideout?,MC,,A journal,,A laptop,,The shape shifter,,A can of beans,,,,,,,,,,,,,,,,,,,,,,,,2
62,Season 2 Episode 3 (The Golf War): What time did Pacifica and Mabel agree to meet for a showdown?,MC,,midnight,,dawn,,noon,,dusk,,,,,,,,,,,,,,,,,,,,,,,,1
63,Season 2 Episode 3: What's the name of that miner who died for Mabel's Cause?,MC,,Hugeling,,Big Henry,,Sherlock,,Manly Dan,,,,,,,,,,,,,,,,,,,,,,,,2
64,"Season 2 Episode 4 (Sock Opera): Who turned out to be Mabel's ""crush of the week"" in this episode?",MC,,Gideon,,Mermando,,Several Timez,,Gabe,,,,,,,,,,,,,,,,,,,,,,,,4
65,Season 2 Episode 4: Which puppet did Bill decide to take in his deal with Dipper?,MC,,Dipper,,Mabel,,Stan,,Old Man McGucket,,,,,,,,,,,,,,,,,,,,,,,,1
66,Season 2 Episode 5 (Soos and the Real Girl): How was Giffany eventually defeated?,MC,,Delete her from the program,,Burn the CD in the oven,,Pitt Cola,,Destroying all Electronic Devices in the World,,,,,,,,,,,,,,,,,,,,,,,,2
67,Season 2 Episode 5: Who does Soos decide to bring to Regi's engagement party?,MC,,Giffany,,Mabel,,Lazy Susan,,Melody,,,,,,,,,,,,,,,,,,,,,,,,4
68,"Season 2 Episode 6 (Little Gift Shop of Horrors): In the first short story, what was the witch looking for that whole time?",MC,,Bats,,Slaves,,Romance,,Watches,,,,,,,,,,,,,,,,,,,,,,,,3
69,"Season 2 Episode 6: What was the ""lonesome traveler's"" punishment for not buying any of Stan's merchandise?",MC,,Having their hands cut off,,Becoming an attraction,,Being eaten by Waddles,,Locked up in a cage with evil clay,,,,,,,,,,,,,,,,,,,,,,,,2
70,Season 2 Episode 7 (Society of the Blind Eye): What is the job of the Society of the Blind Eye?,MC,,Erase the memories of people who have seen disturbing things,,Make people who can see go blind,,To make Rumble McSkirmish Humble McSkirmish,,Eat people,,,,,,,,,,,,,,,,,,,,,,,,1
71,Season 2 Episode 7: In what location does the Society of the Blind Eye hide out?,MC,,Mystery Shack,,Greasy's Diner,,Gravity Falls Museum of History,,Gravity Malls,,,,,,,,,,,,,,,,,,,,,,,,3
72,Season 2 Episode 8 (Blendin's Game): What game in Globnar eventually leads to Blendin's doom?,MC,,Cosmic Sandslide,,Laser Tag,,Race Car,,Chess,,,,,,,,,,,,,,,,,,,,,,,,2
73,Season 2 Episode 8: What did Soos wish for in his time wish?,MC,,INFINITE PIZZA!!!,,To see his dad again,,To not have gotten the job at the Mystery Shack,,To be able to break into any vending machine,,,,,,,,,,,,,,,,,,,,,,,,1
74,Season 2 Episode 9 (The Love God): What adjective would best describe Robbie's parents?,MC,,Gloomy,,Gross,,Cheerful,,Sad,,,,,,,,,,,,,,,,,,,,,,,,3
75,"Season 2 Episode 9: Who eventually causes the ""teenage group"" to reunite?",MC,,I EAT KIDS!,,Thompson,,Stan Pines,,The Love God,,,,,,,,,,,,,,,,,,,,,,,,2
76,"Season 2 Episode 10 (Northwest Mansion Mystery): What is Pacifica forced to give Dipper to have him help her in their ""situation?""",MC,,3 tickets to the party,,A hug,,Flies,,The deed to her mansion,,,,,,,,,,,,,,,,,,,,,,,,1
77,"Season 2 Episode 10: Why was the ""category 10"" ghost mad at the Northwest family?",MC,,Snobbishness,,Broken promise,,Instablity,,Brevity,,,,,,,,,,,,,,,,,,,,,,,,2
78,"Season 2 Episode 11 (Not What He Seems): How do they clean up the ""mess"" from the rooftop firework party?",MC,,Bread,,Water balloons,,Zombies,,Waddles,,,,,,,,,,,,,,,,,,,,,,,,2
79,Season 2 Episode 11: What is the code on the vending machine used to get to the hideout?,MC,,1-2-3-4-5,,A-1-B-C-3,,A-B-2-D-4,,A-B-C-D-F,,,,,,,,,,,,,,,,,,,,,,,,2
80,Season 2 Episode 12 (A Tale of Two Stans): What college did Stanford Pines go to?,MC,,West Coast Tech,,Harvard,,Backupsmore,,Yale,,,,,,,,,,,,,,,,,,,,,,,,3
81,Season 2 Episode 12: What journal number did Ford give Stan?,MC,,1,,2,,3,,Infinity,,,,,,,,,,,,,,,,,,,,,,,,1
82,Season 2 Episode 12: How did the Pines family get rid of the police?,MC,,Futuristic Arm Cannon,,Memory Gun,,Choking,,Vending Machine,,,,,,,,,,,,,,,,,,,,,,,,2
83,"Season 2 Episode 13 (Dungeons, Dungeons, and More Dungeons): What happens when the infinity-sided die is rolled in this episode?",MC,,"The game ""Dungeons, Dungeons, and More Dungeons"" comes to life",,The world turns to an egg,,Their faces melt into jelly,,"An ""8"" is rolled",,,,,,,,,,,,,,,,,,,,,,,,1
84,"Season 2 Episode 13: What is required to defeat the ""impossabeast?""",MC,,Kittens,,Shield of Shielding,,"The rolling of a perfect ""38""",,88 different faces,,,,,,,,,,,,,,,,,,,,,,,,3
85,Season 2 Episode 14 (The Stanchurian Candidate): Why was Shandra crying after announcing the death of Mayor Befufftlefumpter?,MC,,First time they actually had REAL news!,,Mourning his death,,Reminds her of the death of her own father,,The town is doomed,,,,,,,,,,,,,,,,,,,,,,,,1
86,Season 2 Episode 14: Why did Stan lose the election?,MC,,Not enough bird seeds thrown at him,,He risked too much personal danger,,His extensive criminal record,,His memes,,,,,,,,,,,,,,,,,,,,,,,,3
87,Season 2 Episode 15 (The Last Mabelcorn): What was the one word Ford used to describe unicorns?,MC,,Difficult,,Frustrating,,Mean,,Aggressive,,,,,,,,,,,,,,,,,,,,,,,,2
88,"Season 2 Episode 15: What was the ""next best thing"" after bill-proofing the shack?",MC,,Bill-proofing their minds,,Bill-proofing their hearts,,Bill-proofing their blood,,Bill-proofing the town,,,,,,,,,,,,,,,,,,,,,,,,1
89,"Season 2 Episode 16 (Roadside Attractions): When Mabel and her ""people"" play ""Truth or Dare or Don't,"" what did Candy pick at first?",MC,,Truth,,Or,,Dare,,Don't,,,,,,,,,,,,,,,,,,,,,,,,4
90,"Season 2 Episode 16: How did Mystery Mountain get ""new mummies daily?""",MC,,"They have a surplus supply, displaying different ones each day.",,Spider-people disguised as women consume the flesh of unsuspecting men.,,They keep mining them in the depths of the mountain.,,"The mummies are just models, and new ones are hand-crafted each day.",,,,,,,,,,,,,,,,,,,,,,,,2
91,Season 2 Episode 17 (Dipper and Mabel vs. the Future): What is needed to seal the cracked rift?,MC,,Sticky-notes,,Duct tape,,Wood Glue,,Alien Adhesive,,,,,,,,,,,,,,,,,,,,,,,,4
92,Season 2 Episode 17: Who does Bill possess to unleash Weirdmageddon?,MC,,Dipper Pines,,Mabel Pines,,Manly Dan,,Blendin Blandin,,,,,,,,,,,,,,,,,,,,,,,,4
93,Season 2 Episode 18 (Weirdmageddon Part 1): In what location did Dipper find Wendy?,MC,,Budd's Auto Sales,,Mystery Shack,,Gravity Malls,,Greasy's Diner,,,,,,,,,,,,,,,,,,,,,,,,3
94,Season 2 Episode 18: What has Soos been doing since the start of the apocalypse?,MC,,Relaxing in the armchair,,Helping strangers,,Fixing Gompers' size,,Talking with Melody,,,,,,,,,,,,,,,,,,,,,,,,2
95,Season 2 Episode 19 (Weirdmageddon Part 2: Escape from Reality): Who guards Mabel's castle?,MC,,Stuffed Animal Tree,,Soos,,Waffle Guards,,Kitty Kitty Meow Meow,,,,,,,,,,,,,,,,,,,,,,,,3
96,"Season 2 Episode 19: How was Mabel's hair ""fixed"" all those years ago?",MC,,A wig,,Another piece of gum,,A shower,,A razor,,,,,,,,,,,,,,,,,,,,,,,,4
97,"Season 2 Episode 20 (Weirdmageddon Part 3: Take Back the Falls): After running out of the brown meat in stock, what was Stan's plan for food?",MC,,Eating the Cans,,Eating the Gnomes,,Eating Multibear,,Save Gravity Falls!,,,,,,,,,,,,,,,,,,,,,,,,2
98,Season 2 Episode 20: How was Bill defeated?,MC,,"Ford's ""one shot"" with Experiment 618",,Spraying his eye with dye,,The Cipher Wheel,,Memory Gun,,,,,,,,,,,,,,,,,,,,,,,,4
99,Season 2 Episode 20: How was Stan's memory recovered?,MC,,Time Travelling Device,,Memory Gun,,Society of the Recalling Eye,,Mabel's Scrapbook,,,,,,,,,,,,,,,,,,,,,,,,4
100,Season 2 Episode 20: Who becomes the new manager of the mystery shack?,MC,,Ford Pines,,Wendy,,Soos,,Grenda,,,,,,,,,,,,,,,,,,,,,,,,3
